mpan,TOTAL (A),TOTAL (E),eac
2200042573804,0,37004.5,841.0113636
2700002472506,0,36991.6,840.7181818
1900020426420,0,36947,839.7045455
1200060491773,0,36854,837.5909091
1717249710102,0,36841.6,837.3090909
1700052080417,40142.3,36730.7,1747.113636
1200010136076,0,36678.4,833.6
2500223392451,0,36490.7,829.3340909
1423756100006,0,36399.6,827.2636364
1200010008996,0,36203.3,822.8022727
1100039601710,221780.8,36172.3,5862.570455
1014572754692,494796.5,36133.9,12066.6
1580001763670,0,36042.7,819.1522727
1714481356526,0,35985.2,817.8454545
1800035326713,0,35974.4,817.6
1900017426057,252254.4,35880.3,6548.515909
1600000144982,0,35880,815.4545455
1200050813764,0,35851.2,814.8
2376311242119,0,35823.9,814.1795455
1100770324489,0,35706.3,811.5068182
2000027407898,0,35704.1,811.4568182
1012922019393,0,35642.7,810.0613636
1200050032906,0,35577.3,808.575
1100039382222,0,35540.4,807.7363636
2380001363775,0,35444.8,805.5636364
1200010178689,0,35388.9,804.2931818
1470000133666,2437.5,35388.1,859.6727273
1200010024863,0,35377.2,804.0272727
1900026426499,459414,35262.7,11242.65227
1429636000000,139326.4,35255.2,3967.763636
2500020662504,134876.7,35177.7,3864.872727
2000027479493,103176,35132.5,3143.375
1100039667083,0,35101.4,797.7590909
1800060263673,0,35035,796.25
1592001044938,0,35008.4,795.6454545
1014569173599,0,34948.6,794.2863636
2000027479554,0,34930.5,793.875
2000060650203,0,34840.9,791.8386364
1200061148079,688121.8,34717.2,16428.15909
2200032133748,1525587.5,34677.6,35460.57045
1200010189973,0,34636.2,787.1863636
2200041291440,25084.6,34628,1357.104545
2000027467595,26374.6,34593.5,1385.638636
2700000049226,0,34428.7,782.4704545
2199989620900,0,34398.5,781.7840909
1620001358476,25106.3,34382.9,1352.027273
3800000579025,0,34378.1,781.3204545
1200062158811,0,34336.1,780.3659091
1800054482150,14353.1,34224.7,1104.040909
2380000041052,15737.7,34223.9,1135.490909
1014572188666,0,34183.9,776.9068182
1200051815814,64520.8,34155.2,2242.636364
1200010021204,0,34076.1,774.4568182
1200062198354,0,34075.3,774.4386364
2000050649015,0,34065.8,774.2227273
2200030369220,0,34065.1,774.2068182
1200010261798,24452.4,33959.9,1327.552273
1300035351744,107930.6,33955.6,3224.686364
2200043601453,0,33766.3,767.4159091
1300050811380,67462.4,33714.3,2299.470455
2199989611570,0,33587.2,763.3454545
1900030423843,0,33574.2,763.05
1200032158527,0,33366.2,758.3227273
1507809139991,0,33360.2,758.1863636
1014573094869,0,33354,758.0454545
2100040939973,90272,33323.6,2808.990909
2000054449309,16795.5,33259.9,1137.622727
1023492856653,0,33241.2,755.4818182
3400000446070,0,33241,755.4772727
1100039657581,28955.7,33232.8,1413.375
1200050344821,0,33122,752.7727273
2200012364692,0,33073.2,751.6636364
1200060346914,0,33035.5,750.8068182
2000052619839,0,33019.6,750.4454545
1200061646808,0,32966.5,749.2386364
2300000053873,0,32902.5,747.7840909
1200060986669,0,32881.3,747.3022727
1200060119909,0,32846.7,746.5159091
2200043872216,0,32791.5,745.2613636
1650000469808,0,32722.3,743.6886364
2000056748069,0,32663.8,742.3590909
1014572950886,447870.9,32593.2,10919.63864
1200062972542,18602,32369.7,1158.447727
